,DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
20,241909893,07/03/2024 12:00:00 AM,07/02/2024 12:00:00 AM,1900,19,Mission,1905,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510,,,,13900    FOOTHILL                     BL,,34.3155,-118.4343
21,240113888,07/02/2024 12:00:00 AM,07/02/2024 12:00:00 AM,1050,1,Central,119,2,888,TRESPASSING,0910 2004,0,M,O,900.0,MTA - RED LINE - UNION STATION,,,IC,Invest Cont,888,,,,800 N  ALAMEDA                      ST,,34.0561,-118.2375
22,241511911,07/09/2024 12:00:00 AM,07/02/2024 12:00:00 AM,2000,15,N Hollywood,1557,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),1300 0344 1822,29,M,W,101.0,STREET,,,IC,Invest Cont,331,,,,10800    HARTSOOK                     ST,,34.1636,-118.3659
23,242110100,07/03/2024 12:00:00 AM,07/02/2024 12:00:00 AM,1,21,Topanga,2149,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101.0,STREET,,,IC,Invest Cont,420,,,,6900    WINNETKA                     AV,,34.196,-118.571
24,241910061,07/11/2024 12:00:00 AM,07/02/2024 12:00:00 AM,1540,19,Mission,1918,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344,49,M,W,102.0,SIDEWALK,,,IC,Invest Cont,341,,,,13500    FOOTHILL                     BL,,34.3051,-118.4276
25,241511779,07/04/2024 12:00:00 AM,07/02/2024 12:00:00 AM,1800,15,N Hollywood,1517,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101.0,STREET,,,IC,Invest Cont,420,,,,6700    ELMER                        AV,,34.1925,-118.3769
26,241909918,07/04/2024 12:00:00 AM,07/02/2024 12:00:00 AM,900,19,Mission,1967,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,122.0,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,420,,,,13900    TERRA BELLA                  ST,,34.2456,-118.4357
27,240408591,07/03/2024 12:00:00 AM,07/02/2024 12:00:00 AM,2047,4,Hollenbeck,499,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510,,,,3600 E  OLYMPIC                      BL,,34.0188,-118.2011
28,242110337,07/13/2024 12:00:00 AM,07/02/2024 12:00:00 AM,2345,21,Topanga,2157,2,354,THEFT OF IDENTITY,0928 1822,39,M,W,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,20500    ARCHWOOD                     ST,,34.1927,-118.5797
29,241909897,07/03/2024 12:00:00 AM,07/02/2024 12:00:00 AM,2000,19,Mission,1944,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101.0,STREET,,,IC,Invest Cont,420,,,,14300    LA RUE                       ST,,34.2707,-118.4459
30,241109185,07/09/2024 12:00:00 AM,07/02/2024 12:00:00 AM,1415,11,Northeast,1118,2,888,TRESPASSING,,0,X,X,971.0,MTA - GOLD LINE - HIGHLAND PARK,,,AA,Adult Arrest,888,,,,200 N  AVENUE 58,,34.1114,-118.1928
31,242009989,07/03/2024 12:00:00 AM,07/02/2024 12:00:00 AM,1325,20,Olympic,2019,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1822 0329,0,X,X,707.0,GARAGE/CARPORT,,,IC,Invest Cont,740,,,,3400 W  3RD                          ST,,34.0728,-118.2878
32,240910115,07/02/2024 12:00:00 AM,07/02/2024 12:00:00 AM,606,9,Van Nuys,952,2,354,THEFT OF IDENTITY,0377 0922,35,F,O,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,14600    MAGNOLIA                     BL,,34.1684,-118.4586
33,240509886,07/03/2024 12:00:00 AM,07/02/2024 12:00:00 AM,1400,5,Harbor,513,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510,,,,25000    FRAMPTON                     AV,,33.7978,-118.2999
34,240113942,07/02/2024 12:00:00 AM,07/02/2024 12:00:00 AM,1045,1,Central,119,2,888,TRESPASSING,0910 1501,0,X,X,900.0,MTA - RED LINE - UNION STATION,,,IC,Invest Cont,888,,,,800 N  ALAMEDA                      ST,,34.0561,-118.2375
35,240114236,07/08/2024 12:00:00 AM,07/02/2024 12:00:00 AM,800,1,Central,124,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329,0,M,O,116.0,OTHER/OUTSIDE,,,IC,Invest Cont,745,,,,100 S  MAIN                         ST,,34.0516,-118.244
36,241710975,07/04/2024 12:00:00 AM,07/02/2024 12:00:00 AM,1600,17,Devonshire,1796,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510,,,,16900    NAPA                         ST,,34.2267,-118.5
37,240211596,07/02/2024 12:00:00 AM,07/02/2024 12:00:00 AM,900,2,Rampart,245,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510,,,,CARONDELET,7TH,34.0586,-118.2815
38,240211658,07/04/2024 12:00:00 AM,07/02/2024 12:00:00 AM,1632,2,Rampart,204,2,354,THEFT OF IDENTITY,1822 0928 0100,35,F,J,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,900    HYPERION                     AV,,34.0878,-118.2822
39,240113949,07/02/2024 12:00:00 AM,07/02/2024 12:00:00 AM,815,1,Central,119,2,888,TRESPASSING,0910 1501,0,X,X,834.0,LA UNION STATION (NOT LINE SPECIFIC),,,IC,Invest Cont,888,,,,800 N  ALAMEDA                      ST,,34.0561,-118.2375
40,240610400,07/08/2024 12:00:00 AM,07/02/2024 12:00:00 AM,930,6,Hollywood,663,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1822 0329 0344 1501,0,X,X,123.0,PARKING UNDERGROUND/BUILDING,,,IC,Invest Cont,740,,,,1100 N  MCCADDEN                     PL,,34.0907,-118.3374
41,241410872,07/03/2024 12:00:00 AM,07/02/2024 12:00:00 AM,2000,14,Pacific,1483,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510,,,,8700    PERSHING                     DR,,33.9547,-118.4413
42,240910223,07/09/2024 12:00:00 AM,07/02/2024 12:00:00 AM,500,9,Van Nuys,914,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1300,44,F,H,101.0,STREET,,,IC,Invest Cont,740,,,,HART                         ST,CEDROS                       AV,34.1975,-118.4531
43,241511759,07/03/2024 12:00:00 AM,07/02/2024 12:00:00 AM,2200,15,N Hollywood,1555,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1822 1609 0447,32,M,K,210.0,RESTAURANT/FAST FOOD,,,IC,Invest Cont,740,,,,5000    LANKERSHIM                   BL,,34.1611,-118.3723
44,240312013,07/02/2024 12:00:00 AM,07/02/2024 12:00:00 AM,1342,3,Southwest,331,2,888,TRESPASSING,0910 1501,23,X,X,949.0,MTA - EXPO LINE - EXPO/LA BREA,,,IC,Invest Cont,888,,,,5000    EXPOSITION                   BL,,34.0246,-118.352
45,241811103,07/03/2024 12:00:00 AM,07/02/2024 12:00:00 AM,2315,18,Southeast,1842,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1822 0342 0329 1300 1307,37,F,H,504.0,OTHER RESIDENCE,,,IC,Invest Cont,740,,,,11100 S  SAN PEDRO                    ST,,33.9347,-118.2761
46,240810022,08/05/2024 12:00:00 AM,07/02/2024 12:00:00 AM,1,8,West LA,852,2,354,THEFT OF IDENTITY,1822 0930 0926 0935,61,F,F,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,1600 S  WESTGATE                     AV,,34.0409,-118.4579
47,241811694,07/27/2024 12:00:00 AM,07/02/2024 12:00:00 AM,1600,18,Southeast,1842,1,510,VEHICLE - STOLEN,,0,,,707.0,GARAGE/CARPORT,,,IC,Invest Cont,510,,,,100 E  111TH                        PL,,33.9339,-118.2739
48,241410961,07/03/2024 12:00:00 AM,07/02/2024 12:00:00 AM,1600,14,Pacific,1494,2,946,OTHER MISCELLANEOUS CRIME,1822 0329 1300,48,F,W,102.0,SIDEWALK,500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,946,,,,7300    WORLD                        WY,,33.9418,-118.4223
49,241511736,07/02/2024 12:00:00 AM,07/02/2024 12:00:00 AM,2125,15,N Hollywood,1511,1,310,BURGLARY,1402 1822 1607 1606 0344 0329,51,M,O,221.0,PUBLIC STORAGE,,,IC,Invest Cont,310,998.0,,,7200    COLDWATER CANYON             AV,,34.2037,-118.421
50,242110224,07/08/2024 12:00:00 AM,07/02/2024 12:00:00 AM,1410,21,Topanga,2157,2,354,THEFT OF IDENTITY,0377,38,F,W,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,6700    ETON                         AV,,34.1926,-118.5955
51,240211628,07/02/2024 12:00:00 AM,07/02/2024 12:00:00 AM,1645,2,Rampart,256,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325 0104 0344,0,X,X,402.0,MARKET,,,IC,Invest Cont,442,,,,1700 W  6TH                          ST,,34.0573,-118.2699
52,240113878,07/02/2024 12:00:00 AM,07/02/2024 12:00:00 AM,700,1,Central,119,2,888,TRESPASSING,0910,0,M,O,900.0,MTA - RED LINE - UNION STATION,,,IC,Invest Cont,888,,,,800 N  ALAMEDA                      ST,,34.0561,-118.2375
53,241610377,09/15/2024 12:00:00 AM,07/02/2024 12:00:00 AM,1000,16,Foothill,1653,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",2019,41,F,H,121.0,YARD (RESIDENTIAL/BUSINESS),,,IC,Invest Cont,341,,,,12800    KELOWNA                      ST,,34.2564,-118.4118
54,240710278,07/23/2024 12:00:00 AM,07/02/2024 12:00:00 AM,900,7,Wilshire,702,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),1300 0329,40,M,X,101.0,STREET,,,IC,Invest Cont,745,,,,600 N  FULLER                       AV,,34.0818,-118.3498
55,242110151,07/03/2024 12:00:00 AM,07/02/2024 12:00:00 AM,1630,21,Topanga,2177,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 0377,25,F,B,101.0,STREET,,,IC,Invest Cont,440,,,,TOPANGA CANYON               BL,BURBANK,34.172,-118.6058
56,241410897,07/04/2024 12:00:00 AM,07/02/2024 12:00:00 AM,1458,14,Pacific,1469,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),1822 0344,0,X,X,402.0,MARKET,,,IC,Invest Cont,442,,,,6800    LA CIENEGA                   BL,,33.9761,-118.3726
57,242009951,07/02/2024 12:00:00 AM,07/02/2024 12:00:00 AM,200,20,Olympic,2074,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101.0,STREET,,,IC,Invest Cont,420,,,,1500 S  ARDMORE                      AV,,34.0455,-118.3025
58,240113956,07/03/2024 12:00:00 AM,07/02/2024 12:00:00 AM,2345,1,Central,181,1,510,VEHICLE - STOLEN,,0,,,102.0,SIDEWALK,,,IC,Invest Cont,510,,,,GEORGIA                      ST,CHICK HEARN                  CT,34.0431,-118.2692
59,240113897,07/02/2024 12:00:00 AM,07/02/2024 12:00:00 AM,1025,1,Central,119,2,888,TRESPASSING,0910,0,M,O,900.0,MTA - RED LINE - UNION STATION,,,IC,Invest Cont,888,,,,800 N  ALAMEDA                      ST,,34.0561,-118.2375
60,240709867,07/02/2024 12:00:00 AM,07/02/2024 12:00:00 AM,1640,7,Wilshire,722,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325,0,X,X,417.0,THE BEVERLY CONNECTION,,,AA,Adult Arrest,442,,,,100    LA CIENEGA                   BL,,34.0734,-118.3765
61,241109088,07/04/2024 12:00:00 AM,07/02/2024 12:00:00 AM,2245,11,Northeast,1162,1,330,BURGLARY FROM VEHICLE,0344 1307,25,M,W,207.0,BAR/COCKTAIL/NIGHTCLUB,,,IC,Invest Cont,330,,,,4200 W  SUNSET                       BL,,34.0938,-118.2818
62,240211638,07/03/2024 12:00:00 AM,07/02/2024 12:00:00 AM,1600,2,Rampart,218,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101.0,STREET,,,IC,Invest Cont,420,,,,TEMPLE,GLENDALE,34.0682,-118.2609
63,240211782,07/09/2024 12:00:00 AM,07/02/2024 12:00:00 AM,1540,2,Rampart,238,1,510,VEHICLE - STOLEN,,0,,,108.0,PARKING LOT,,,IC,Invest Cont,510,,,,200 N  BOYLSTON                     ST,,34.0642,-118.257
64,241811063,07/02/2024 12:00:00 AM,07/02/2024 12:00:00 AM,800,18,Southeast,1841,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510,,,,11200 S  HOOVER                       ST,,33.9334,-118.287
65,241512341,07/27/2024 12:00:00 AM,07/02/2024 12:00:00 AM,1851,15,N Hollywood,1557,2,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",1822 0913 0940 1815 2036,47,F,O,750.0,CYBERSPACE,,,AO,Adult Other,956,,,,10700    HORTENSE                     ST,,34.1548,-118.3637
66,240408658,07/06/2024 12:00:00 AM,07/02/2024 12:00:00 AM,1300,4,Hollenbeck,426,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,AA,Adult Arrest,510,,,,3300 N  EASTERN                      AV,,34.0836,-118.178
67,240211792,07/09/2024 12:00:00 AM,07/02/2024 12:00:00 AM,1350,2,Rampart,246,1,352,PICKPOCKET,1822 0344,47,M,H,148.0,PUBLIC RESTROOM/OUTSIDE*,,,IC,Invest Cont,352,,,,600 S  ALVARADO                     ST,,34.0595,-118.2749
68,241710952,07/03/2024 12:00:00 AM,07/02/2024 12:00:00 AM,1815,17,Devonshire,1764,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510,,,,9300    TAMPA                        AV,,34.244,-118.5583
69,240113909,07/02/2024 12:00:00 AM,07/02/2024 12:00:00 AM,1701,1,Central,192,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 1822,24,F,K,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,440,,,,1300 S  FIGUEROA                     ST,,34.0406,-118.268
70,240709878,07/03/2024 12:00:00 AM,07/02/2024 12:00:00 AM,2200,7,Wilshire,765,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),1300 0385 1822,25,F,H,101.0,STREET,,,IC,Invest Cont,331,,,,1400 S  HIGHLAND                     AV,,34.048,-118.3434
71,241909940,07/05/2024 12:00:00 AM,07/02/2024 12:00:00 AM,1800,19,Mission,1962,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510,,,,9600 N  SEPULVEDA                    BL,,34.2446,-118.4674
72,240211670,07/05/2024 12:00:00 AM,07/02/2024 12:00:00 AM,1900,2,Rampart,237,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510,,,,EMERALD                      ST,2ND                          ST,34.0594,-118.2599
73,240211648,07/03/2024 12:00:00 AM,07/02/2024 12:00:00 AM,2330,2,Rampart,289,1,330,BURGLARY FROM VEHICLE,0344 1300 1822 0329 1603 1307,26,M,H,203.0,OTHER BUSINESS,,,IC,Invest Cont,330,,,,1400 W  PICO                         BL,,34.0453,-118.2738
74,240408588,07/02/2024 12:00:00 AM,07/02/2024 12:00:00 AM,700,4,Hollenbeck,411,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329,54,M,H,506.0,ABANDONED BUILDING ABANDONED HOUSE,,,IC,Invest Cont,745,,,,400 N  AVENUE 19,,34.078,-118.225
75,241009724,07/02/2024 12:00:00 AM,07/02/2024 12:00:00 AM,2020,10,West Valley,1005,2,354,THEFT OF IDENTITY,1822 0928,37,F,W,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,8200    ZELZAH                       AV,,34.2187,-118.5236
76,240113903,07/02/2024 12:00:00 AM,07/02/2024 12:00:00 AM,1800,1,Central,185,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510,,,,1000 S  HILL                         ST,,34.0417,-118.2584
77,241009729,07/03/2024 12:00:00 AM,07/02/2024 12:00:00 AM,1400,10,West Valley,1049,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1822 0344 1602,0,M,O,109.0,PARK/PLAYGROUND,,,IC,Invest Cont,341,,,,6300    WOODLEY                      AV,,34.1822,-118.4836
78,240408584,07/02/2024 12:00:00 AM,07/02/2024 12:00:00 AM,1122,4,Hollenbeck,499,1,330,BURGLARY FROM VEHICLE,1300 1307 1302 0344,29,M,H,213.0,WAREHOUSE,,,IC,Invest Cont,330,,,,1400    CALZONA                      ST,,34.0165,-118.1965
79,240211620,07/02/2024 12:00:00 AM,07/02/2024 12:00:00 AM,1725,2,Rampart,256,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325 0104 0344,0,X,X,402.0,MARKET,,,IC,Invest Cont,442,,,,1700 W  6TH                          ST,,34.0573,-118.2699
80,240610332,07/02/2024 12:00:00 AM,07/02/2024 12:00:00 AM,1308,6,Hollywood,629,1,330,BURGLARY FROM VEHICLE,1822 0344 1300 1501,21,F,W,108.0,PARKING LOT,,,IC,Invest Cont,330,,,,3200    CANYON                       DR,,34.1201,-118.3163
81,240709949,07/02/2024 12:00:00 AM,07/02/2024 12:00:00 AM,1920,7,Wilshire,721,1,330,BURGLARY FROM VEHICLE,1300 1307 1822 0344,40,M,W,416.0,THE BEVERLY CENTER,,,IC,Invest Cont,330,,,,8500    BEVERLY                      BL,,34.0761,-118.3766
82,240910894,08/13/2024 12:00:00 AM,07/02/2024 12:00:00 AM,1130,9,Van Nuys,914,2,668,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",,0,,,108.0,PARKING LOT,,,IC,Invest Cont,668,,,,6800    VAN NUYS                     BL,,34.1939,-118.4487
83,240113931,07/02/2024 12:00:00 AM,07/02/2024 12:00:00 AM,1300,1,Central,161,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0344,0,X,X,203.0,OTHER BUSINESS,,,IC,Invest Cont,442,,,,700 S  FIGUEROA                     ST,,34.0483,-118.2631
84,240312004,07/03/2024 12:00:00 AM,07/02/2024 12:00:00 AM,600,3,Southwest,337,2,354,THEFT OF IDENTITY,0100 1822,25,F,B,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,3100 S  LA SALLE                     AV,,34.0262,-118.3054
85,240610354,07/05/2024 12:00:00 AM,07/02/2024 12:00:00 AM,2230,6,Hollywood,628,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),1822 0385 1300 1501,27,F,W,101.0,STREET,,,IC,Invest Cont,331,,,,5900    CHULA VISTA                  WY,,34.1074,-118.3193
86,241213364,07/11/2024 12:00:00 AM,07/02/2024 12:00:00 AM,2200,12,77th Street,1239,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510,,,,57TH                         ST,FIGUEROA                     ST,33.9863,-118.2881
87,241812042,08/07/2024 12:00:00 AM,07/02/2024 12:00:00 AM,1715,18,Southeast,1836,2,354,THEFT OF IDENTITY,1822 0928 0930,44,F,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,10700 S  CENTRAL                      AV,,33.9388,-118.2542
88,241411184,07/03/2024 12:00:00 AM,07/02/2024 12:00:00 AM,1800,14,Pacific,1427,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329,73,F,W,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,745,,,,3100 S  SEPULVEDA                    BL,,34.0265,-118.428
89,240211614,07/02/2024 12:00:00 AM,07/02/2024 12:00:00 AM,148,2,Rampart,269,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1822 1300 1609 0329,26,F,W,108.0,PARKING LOT,,,IC,Invest Cont,740,,,,8TH,BIXEL,34.0496,-118.265
90,241009709,07/02/2024 12:00:00 AM,07/02/2024 12:00:00 AM,100,10,West Valley,1024,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510,,,,6800    GEYSER                       AV,,34.1929,-118.5422
91,240408829,07/15/2024 12:00:00 AM,07/02/2024 12:00:00 AM,1000,4,Hollenbeck,473,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101.0,STREET,,,IC,Invest Cont,420,,,,WHITTIER,SOTO,34.0344,-118.2157
